time,sym,price,volume
2017-04-21 16:31:09.795938,GOOGL,858.9083,978018
2017-04-21 16:32:12.908428,GOOGL,859.345,580906
2017-04-21 16:33:31.758707,GOOGL,859.345,978018
2017-04-21 16:34:33.939532,GOOGL,859.90,572394
2017-04-21 16:35:36.108786,GOOGL,859.40,572394
2017-04-21 16:36:38.201999,GOOGL,859.90,572394
2017-04-21 16:37:40.476109,GOOGL,859.40,784504
2017-04-21 16:38:43.786322,GOOGL,859.90,978018
2017-04-21 16:39:46.184667,GOOGL,859.345,978018
2017-04-21 16:40:48.315278,GOOGL,858.9083,580906
2017-04-21 16:41:51.082977,GOOGL,858.9083,580906
2017-04-21 16:42:53.444025,GOOGL,858.9083,978018
2017-04-21 16:43:56.121464,GOOGL,859.90,784504
2017-04-21 16:44:58.247935,GOOGL,859.345,784504
2017-04-21 16:46:00.586901,GOOGL,858.9083,580906
2017-04-21 16:47:02.515151,GOOGL,859.90,580906
2017-04-21 16:48:04.586098,GOOGL,858.9083,784504
2017-04-21 16:49:07.570467,GOOGL,858.9083,572394
2017-04-21 16:50:10.766746,GOOGL,859.345,572394
2017-04-21 16:51:12.906441,GOOGL,859.345,572394
2017-04-21 16:52:15.073117,GOOGL,859.90,784504
2017-04-21 16:53:17.317050,GOOGL,859.345,978018
2017-04-21 16:54:19.977715,GOOGL,859.90,572394
2017-04-21 16:55:22.438482,GOOGL,859.345,784504
2017-04-21 16:56:24.511261,GOOGL,859.90,580906
2017-04-21 16:57:27.177552,GOOGL,858.9083,784504
2017-04-21 16:58:29.070771,GOOGL,859.40,978018
2017-04-21 16:59:34.547230,GOOGL,858.9083,580906
2017-04-21 17:00:37.867526,GOOGL,859.90,784504
2017-04-21 17:01:39.834830,GOOGL,859.345,572394
2017-04-21 17:02:42.039398,GOOGL,859.90,978018
2017-04-21 17:04:13.666409,GOOGL,859.40,978018
2017-04-21 17:05:36.993081,GOOGL,858.9083,572394
2017-04-21 17:06:39.551635,GOOGL,858.9083,784504
2017-04-21 17:07:44.812747,GOOGL,859.90,580906
2017-04-21 17:08:47.071585,GOOGL,859.40,978018
2017-04-21 17:09:49.390069,GOOGL,858.9083,784504
2017-04-21 17:10:51.508416,GOOGL,858.9083,784504
2017-04-21 17:11:53.618108,GOOGL,859.90,580906
2017-04-21 17:12:55.884500,GOOGL,859.345,580906
2017-04-21 17:13:58.775959,GOOGL,858.9083,580906
2017-04-21 17:15:04.877779,GOOGL,859.40,580906
2017-04-21 17:16:26.538748,GOOGL,859.90,572394
2017-04-21 17:17:31.735519,GOOGL,859.345,580906
2017-04-21 17:18:34.690706,GOOGL,859.40,978018
2017-04-21 17:19:37.571979,GOOGL,859.345,580906
2017-04-21 17:20:40.290216,GOOGL,859.90,978018
2017-04-21 17:21:42.572644,GOOGL,858.9083,572394
2017-04-21 17:22:44.639151,GOOGL,859.40,784504
2017-04-21 17:23:46.942145,GOOGL,858.9083,978018
2017-04-21 17:24:56.745054,GOOGL,858.95,1170324
