time,sym,price,volume
2017-04-20 14:21:13.619741,APPL,,0
2017-04-20 14:21:44.895875,APPL,,0
2017-04-20 14:22:16.350888,APPL,,0
2017-04-20 14:22:48.230889,APPL,,0
2017-04-20 14:23:37.458664,APPL,,0
2017-04-20 14:23:51.592149,APPL,,0
2017-04-20 14:24:41.183249,APPL,,0
2017-04-20 14:24:57.518323,APPL,,0
2017-04-20 14:25:44.784045,APPL,,0
2017-04-20 14:26:00.446996,APPL,,0
2017-04-20 14:26:47.472462,APPL,,0
2017-04-20 14:27:03.125248,APPL,,0
2017-04-20 14:27:51.065761,APPL,,0
2017-04-20 14:28:06.114995,APPL,,0
2017-04-20 14:28:54.785844,APPL,,0
2017-04-20 14:29:09.467978,APPL,,0
2017-04-20 14:29:58.045275,APPL,,0
2017-04-20 14:30:12.715635,APPL,,0
2017-04-20 14:31:01.075196,APPL,,0
2017-04-20 14:31:15.760749,APPL,,0
2017-04-20 14:32:03.989331,APPL,,0
2017-04-20 14:32:18.996232,APPL,,0
2017-04-20 14:33:07.322093,APPL,,0
2017-04-20 14:33:21.660475,APPL,,0
2017-04-20 14:34:11.415576,APPL,,0
2017-04-20 14:34:24.377895,APPL,,0
2017-04-20 14:35:14.213145,APPL,,0
2017-04-20 14:35:27.118052,APPL,,0
2017-04-20 14:36:16.735932,APPL,,0
2017-04-20 14:36:29.708633,APPL,,0
2017-04-20 14:37:31.956784,APPL,,0
2017-04-20 14:37:52.488913,APPL,,0
2017-04-20 14:38:35.763470,APPL,,0
2017-04-20 14:38:55.496630,APPL,,0
2017-04-20 14:39:38.901998,APPL,,0
2017-04-20 14:39:59.987435,APPL,,0
2017-04-20 14:40:42.819003,APPL,,0
2017-04-20 14:41:02.994404,APPL,,0
2017-04-20 14:41:45.934916,APPL,,0
2017-04-20 14:42:06.182341,APPL,,0
2017-04-20 14:42:49.285252,APPL,,0
2017-04-20 14:43:34.718894,APPL,,0
2017-04-20 14:43:53.424175,APPL,,0
2017-04-20 14:44:38.111545,APPL,,0
2017-04-20 14:44:56.050148,APPL,,0
2017-04-20 14:45:58.751051,APPL,,0
2017-04-20 14:46:09.140243,APPL,,0
2017-04-20 14:47:11.648353,APPL,,0
2017-04-20 14:47:59.261447,APPL,,0
2017-04-20 14:48:14.530520,APPL,,0
2017-04-20 14:49:01.809837,APPL,,0
2017-04-20 14:49:17.703787,APPL,,0
2017-04-20 14:50:04.451081,APPL,,0
2017-04-20 14:50:20.556859,APPL,,0
2017-04-20 14:51:07.141974,APPL,,0
2017-04-20 14:51:23.272114,APPL,,0
2017-04-20 14:52:09.943070,APPL,,0
2017-04-20 14:52:26.037600,APPL,,0
2017-04-20 14:53:12.730572,APPL,,0
2017-04-20 14:53:28.698887,APPL,,0
2017-04-20 14:54:19.321765,APPL,,0
2017-04-20 14:54:32.005131,APPL,,0
2017-04-20 14:55:23.889646,APPL,,0
2017-04-20 14:55:36.853564,APPL,,0
2017-04-20 14:56:26.409991,APPL,,0
2017-04-20 14:56:39.706465,APPL,,0
2017-04-20 14:57:28.944091,APPL,,0
2017-04-20 14:57:42.869914,APPL,,0
2017-04-20 14:58:31.536065,APPL,,0
2017-04-20 14:58:45.574094,APPL,,0
2017-04-20 14:59:34.310482,APPL,,0
2017-04-20 14:59:53.523777,APPL,,0
2017-04-20 15:00:37.228358,APPL,,0
2017-04-20 15:00:56.415222,APPL,,0
2017-04-20 15:01:40.001147,APPL,,0
2017-04-20 15:01:59.776681,APPL,,0
2017-04-20 15:02:45.227539,APPL,,0
2017-04-20 15:03:02.625521,APPL,,0
2017-04-20 15:03:48.291501,APPL,,0
2017-04-20 15:04:05.331026,APPL,,0
